id,name,class,mass (g),mass (kg),fall,year,latitude,longitude,GeoLocation
4460,Asuka 881751,L6,11.94,0.01194,Found,1988,-72,26,"(-72.0, 26.0)"
3739,Asuka 881030,L6,11.95,0.01195,Found,1988,-72,26,"(-72.0, 26.0)"
4297,Asuka 881588,LL6,11.98,0.01198,Found,1988,-72,26,"(-72.0, 26.0)"
1115,Allan Hills 88071,H5,12.1,0.0121,Found,1988,-76.71667,159.33333,"(-76.71667, 159.33333)"
14353,Lewis Cliff 88615,L5,12.1,0.0121,Found,1988,-84.26851,161.37063,"(-84.26851, 161.37063)"
3641,Asuka 880932,H4,12.11,0.01211,Found,1988,-72,26,"(-72.0, 26.0)"
1114,Allan Hills 88070,EH3,12.12,0.01212,Found,1988,-76.71086,159.15038,"(-76.71086, 159.15038)"
3610,Asuka 880901,H3.7,12.14,0.01214,Found,1988,-72,26,"(-72.0, 26.0)"
14469,Lewis Cliff 88732,L6,12.2,0.0122,Found,1988,-84.27985,161.35766,"(-84.27985, 161.35766)"
14239,Lewis Cliff 88495,H5,12.2,0.0122,Found,1988,-84.25064,161.38747,"(-84.25064, 161.38747)"
14140,Lewis Cliff 88393,H3.7,12.2,0.0122,Found,1988,-84.24173,161.43651,"(-84.24173, 161.43651)"
3483,Asuka 880774,L3.7,12.21,0.01221,Found,1988,-72,26,"(-72.0, 26.0)"
4481,Asuka 881772,H5,12.22,0.01222,Found,1988,-72,26,"(-72.0, 26.0)"
14343,Lewis Cliff 88605,L6,12.3,0.0123,Found,1988,-84.27367,161.38798,"(-84.27367, 161.38798)"
13848,Lewis Cliff 88094,H6,12.3,0.0123,Found,1988,-84.25264,161.3956,"(-84.25264, 161.3956)"
13852,Lewis Cliff 88098,L6,12.3,0.0123,Found,1988,-84.25234,161.39705,"(-84.25234, 161.39705)"
14221,Lewis Cliff 88477,LL3.4,12.3,0.0123,Found,1988,-84.24937,161.40723,"(-84.24937, 161.40723)"
1116,Allan Hills 88072,H5,12.33,0.01233,Found,1988,-76.72315,158.72353,"(-76.72315, 158.72353)"
4119,Asuka 881410,H6,12.35,0.01235,Found,1988,-72,26,"(-72.0, 26.0)"
4378,Asuka 881669,H4,12.4,0.0124,Found,1988,-72,26,"(-72.0, 26.0)"
14445,Lewis Cliff 88708,H5,12.4,0.0124,Found,1988,-84.2744,161.36508,"(-84.2744, 161.36508)"
14018,Lewis Cliff 88267,H6,12.4,0.0124,Found,1988,-84.23486,161.45207,"(-84.23486, 161.45207)"
4013,Asuka 881304,L5,12.42,0.01242,Found,1988,-72,26,"(-72.0, 26.0)"
1118,Allan Hills 88074,H5,12.42,0.01242,Found,1988,-76.69205,159.29708,"(-76.69205, 159.29708)"
1117,Allan Hills 88073,L/LL3,12.47,0.01247,Found,1988,-76.68219,159.31165,"(-76.68219, 159.31165)"
4799,Asuka 882090,L6,12.56,0.01256,Found,1988,-72,26,"(-72.0, 26.0)"
3530,Asuka 880821,H4,12.57,0.01257,Found,1988,-72,26,"(-72.0, 26.0)"
13861,Lewis Cliff 88108,L5,12.6,0.0126,Found,1988,-84.27698,161.353,"(-84.27698, 161.353)"
